616       1990    440    42.8    39.7    22.5    13.7     3.9     3.7     2.9    4.20
616       1995    540    36.0    44.2    25.0    16.3     4.6     3.6     2.8    4.70
616       2000    653    28.8    46.5    26.3    20.8     5.9     3.9     3.1    5.35
618       1990    1952   75.4    19.9     4.6     2.5     0.7     0.6     0.5    1.23
622       1960    2193   75.8    17.7     4.1     6.2     1.7     0.3     0.2    1.37
622       1965    2399   76.7    17.9     4.2     5.2     1.4     0.2     0.2    1.26
622       1970    2639   75.8    19.5     4.5     4.5     1.2     0.3     0.2    1.25
622       1975    2917   71.3    24.0     5.6     4.4     1.2     0.3     0.2    1.41
622       1980    3249   63.7    31.4     7.3     4.5     1.2     0.5     0.3    1.73
622       1985    3668   58.0    35.8     8.3     5.5     1.5     0.7     0.5    2.03
622       1990    4195   52.1    39.9     9.3     7.0     1.9     1.0     0.6    2.39
622       1995    4817   47.2    42.8     9.9     8.6     2.4     1.4     1.0    2.75
622       2000    5610   42.4    44.4    10.3    11.2     3.1     1.9     1.3    3.17
626       1960    674    94.1     3.8     0.9     1.8     0.5     0.3     0.3    0.39
626       1965    722    93.6     4.5     1.1     1.6     0.4     0.3     0.2    0.38
626       1970    776    92.5     5.8     1.3     1.5     0.4     0.2     0.2    0.41
626       1975    840    89.9     8.5     2.0     1.5     0.4     0.2     0.2    0.51
626       1980    928    84.4    13.6     3.2     1.8     0.5     0.2     0.2    0.74
626       1985    1031   78.8    18.4     4.3     2.5     0.7     0.4     0.3    1.01
626       1990    1147   70.7    19.5     4.5     7.3     2.0     2.0     1.6    1.84
626       1995    1278   67.5    23.0     5.4     7.6     2.1     1.9     1.5    1.99
626       2000    1427   63.8    26.9     6.2     7.5     2.1     1.8     1.4    2.11
634       1960    399      .       .       .     15.9     4.2     3.1     2.4      .
634       1965    440      .       .       .     13.2     3.5     2.6     2.1      .
634       1970    488      .       .       .     11.2     3.1     2.4     1.8      .
634       1975    543    76.4    11.0     3.3    10.3     3.0     2.3     1.8    1.93
634       1980    612    65.0    21.7     7.0    11.0     3.5     2.4     1.9    2.45
